candidate_id,rank,score,reasoning
CAND_0072232,34,0.4057,"ML Engineer with 4.0 years — title aligns closely with the role; 4.0 years experience (slightly below preferred range); core skills include TensorFlow, BM25, Embeddings."
CAND_0019288,35,0.3868,"AI Research Engineer with 5.7 years — title aligns closely with the role; 5.7 years experience in the ideal range; core skills include FAISS, TensorFlow, OpenSearch."
CAND_0079387,36,0.3862,"AI Engineer with 6.9 years — title aligns closely with the role; 6.9 years experience in the ideal range; core skills include scikit-learn, Recommendation Systems, Sentence Transformers."
CAND_0028422,37,0.3822,"Junior ML Engineer with 5.5 years — title aligns closely with the role; 5.5 years experience in the ideal range; core skills include Pinecone, Deep Learning, OpenSearch."
CAND_0009837,38,0.3804,"Senior Data Scientist with 4.3 years — title aligns closely with the role; 4.3 years experience (slightly below preferred range); core skills include scikit-learn, TensorFlow, PyTorch."
CAND_0030468,39,0.3731,"Senior Applied Scientist with 5.4 years — title aligns closely with the role; 5.4 years experience in the ideal range; core skills include TensorFlow, Machine Learning, Ranking Systems."
CAND_0029367,40,0.3618,"Senior Data Scientist with 5.7 years — title aligns closely with the role; 5.7 years experience in the ideal range; core skills include TensorFlow, FAISS, Sentence Transformers."
CAND_0092278,41,0.3600,"Senior NLP Engineer with 6.8 years: title aligns closely with the role. However, low recruiter response rate (7%)."
CAND_0049540,42,0.3558,"ML Engineer with 6.8 years — title aligns closely with the role; 6.8 years experience in the ideal range; core skills include TensorFlow, Deep Learning, Sentence Transformers."
CAND_0020350,43,0.3545,"AI Engineer with 5.8 years — title aligns closely with the role; 5.8 years experience in the ideal range; core skills include NLP, FAISS, BM25."
CAND_0098846,44,0.3488,"AI Engineer with 7.6 years — title aligns closely with the role; 7.6 years experience in the ideal range; core skills include Machine Learning, Qdrant, TensorFlow."
CAND_0044222,45,0.3423,"AI Engineer with 7.7 years — title aligns closely with the role; 7.7 years experience in the ideal range; core skills include Vector Search, OpenSearch, Qdrant."
CAND_0050876,46,0.3390,"Applied ML Engineer with 6.0 years — title aligns closely with the role; 6.0 years experience in the ideal range; core skills include Qdrant, FAISS, scikit-learn."
CAND_0062247,47,0.3331,"AI Engineer with 7.3 years — title aligns closely with the role; 7.3 years experience in the ideal range; core skills include Pinecone, Vector Search, Qdrant."
CAND_0030031,48,0.3209,"AI Engineer with 5.7 years — title aligns closely with the role; 5.7 years experience in the ideal range; core skills include Information Retrieval, PyTorch, NLP."
CAND_0087630,49,0.3199,"AI Engineer with 7.2 years — title aligns closely with the role; 7.2 years experience in the ideal range; core skills include Elasticsearch, NLP, Learning to Rank."
CAND_0099806,50,0.3195,"AI Engineer with 4.6 years — title aligns closely with the role; 4.6 years experience (slightly below preferred range); core skills include FAISS, Embeddings, Sentence Transformers."
CAND_0046132,51,0.3035,"Moderate match as AI Research Engineer at Verloop.io: title aligns closely with the role; 4.3 years experience (slightly below preferred range); relevant skills: Information Retrieval, PyTorch."
CAND_0026942,52,0.2976,"Moderate match as Junior ML Engineer at Verloop.io: title aligns closely with the role; 6.0 years experience in the ideal range; core skills include Learning to Rank, TensorFlow, Information Retrieval."
CAND_0048166,53,0.2975,"Partial fit: located outside India (Germany). On the positive side, title aligns closely with the role."
CAND_0033987,54,0.2864,"Moderate match as ML Engineer at Wysa: title aligns closely with the role; 6.8 years experience in the ideal range; core skills include Recommendation Systems, Deep Learning, FAISS."
CAND_0024620,55,0.2826,"Partial fit: located outside India (USA). On the positive side, title aligns closely with the role."
CAND_0053591,56,0.2811,"Partial fit: located outside India (Canada). On the positive side, title aligns closely with the role."
CAND_0036484,57,0.2784,"Moderate match as AI Research Engineer at InMobi: title aligns closely with the role; 5.7 years experience in the ideal range; core skills include Qdrant, Machine Learning, Recommendation Systems."
CAND_0060054,58,0.2742,"Moderate match as AI Engineer at Mad Street Den: title aligns closely with the role; 6.4 years experience in the ideal range; core skills include TensorFlow, Weaviate, FAISS."
CAND_0058575,59,0.2714,"Moderate match as AI Engineer at Krutrim: title aligns closely with the role; 5.8 years experience in the ideal range; core skills include Machine Learning, Recommendation Systems, Pinecone."
CAND_0010541,60,0.2642,"Moderate match as AI Research Engineer at Wysa: title aligns closely with the role; 6.2 years experience in the ideal range; core skills include Pinecone, Weaviate, BM25."
CAND_0008239,61,0.2640,"Moderate match as AI Engineer at Apple: title aligns closely with the role; 4.0 years experience (slightly below preferred range); core skills include Milvus, Semantic Search, Elasticsearch."
CAND_0067866,62,0.2534,"Moderate match as Senior Software Engineer (ML) at Tech Mahindra: title aligns closely with the role; 6.4 years experience in the ideal range; core skills include Embeddings, Elasticsearch, Qdrant."
CAND_0068811,63,0.2493,"Moderate match as Applied ML Engineer at Freshworks: title aligns closely with the role; 8.0 years experience in the ideal range; core skills include Vector Search, Qdrant, scikit-learn."
CAND_0015578,64,0.2492,"Moderate match as AI Engineer at Zoho: title aligns closely with the role; 5.4 years experience in the ideal range; core skills include Embeddings, NLP, BM25."
CAND_0044883,65,0.2454,"Partial fit: located outside India (Germany). On the positive side, title aligns closely with the role."
CAND_0086154,66,0.2361,"Moderate match as Data Scientist at Ola: title aligns closely with the role; 6.8 years experience in the ideal range; core skills include OpenSearch, scikit-learn, Machine Learning."
CAND_0076904,67,0.2261,"Partial fit: located outside India (UK). On the positive side, title aligns closely with the role."
CAND_0007460,68,0.2213,"Partial fit: long notice period (120 days). On the positive side, title aligns closely with the role."
CAND_0005649,69,0.2095,"Moderate match as Senior Data Scientist at Sarvam AI: title aligns closely with the role; 7.4 years experience in the ideal range; core skills include Deep Learning, TensorFlow, Recommendation Systems."
CAND_0042029,70,0.2076,"Moderate match as Senior Data Scientist at Flipkart: title aligns closely with the role; 6.5 years experience in the ideal range; core skills include PyTorch, NLP, Elasticsearch."
CAND_0046353,71,0.2030,ML Engineer (6.4 yrs): title aligns closely with the role; long notice period (120 days).
CAND_0027691,72,0.1935,NLP Engineer (6.5 yrs): title aligns closely with the role; no major red flags.
CAND_0040887,73,0.1851,Machine Learning Engineer (4.7 yrs): title aligns closely with the role; located outside India (Canada).
CAND_0081852,74,0.1814,Senior Data Scientist (5.9 yrs): title aligns closely with the role; no major red flags.
CAND_0074735,75,0.1615,Applied ML Engineer (5.5 yrs): title aligns closely with the role; no major red flags.
CAND_0081053,76,0.1581,NLP Engineer (5.4 yrs): title aligns closely with the role; no major red flags.
CAND_0007052,77,0.1549,ML Engineer (6.5 yrs): title aligns closely with the role; no major red flags.
CAND_0070398,78,0.1541,Machine Learning Engineer (7.2 yrs): title aligns closely with the role; long notice period (120 days).
CAND_0042506,79,0.1527,Search Engineer (4.2 yrs): title aligns closely with the role; no major red flags.
CAND_0049538,80,0.1480,Applied ML Engineer (5.8 yrs): title aligns closely with the role; no major red flags.
CAND_0043860,81,0.1469,Junior ML Engineer (6.1 yrs): title aligns closely with the role; no major red flags.
CAND_0047721,82,0.1437,Senior Data Scientist (7.0 yrs): title aligns closely with the role; no major red flags.
CAND_0098780,83,0.1425,AI Research Engineer (5.9 yrs): title aligns closely with the role; no major red flags.
CAND_0036437,84,0.1329,Search Engineer (4.8 yrs): title aligns closely with the role; no major red flags.
CAND_0006418,85,0.1324,Machine Learning Engineer (5.7 yrs): title aligns closely with the role; no major red flags.
CAND_0091909,86,0.1311,Machine Learning Engineer (6.9 yrs): title aligns closely with the role; no major red flags.
CAND_0064326,87,0.1293,Search Engineer (7.6 yrs): title aligns closely with the role; no major red flags.
CAND_0083307,88,0.1274,Search Engineer (7.8 yrs): title aligns closely with the role; long notice period (120 days).
CAND_0061339,89,0.1261,Search Engineer (4.2 yrs): title aligns closely with the role; no major red flags.
CAND_0033179,90,0.1252,AI Research Engineer (6.9 yrs): title aligns closely with the role; no major red flags.
CAND_0027801,91,0.1245,"NLP Engineer (7.4 yrs) ranked for title aligns closely with the role, though long notice period (120 days)."
CAND_0075574,92,0.1214,Machine Learning Engineer (5.7 yrs) included for title aligns closely with the role.
CAND_0010257,93,0.1177,"Senior Data Scientist (6.5 yrs) ranked for title aligns closely with the role, though long notice period (120 days)."
CAND_0008295,94,0.1115,AI Research Engineer (6.5 yrs) included for title aligns closely with the role.
CAND_0051466,95,0.1078,AI Research Engineer (5.3 yrs) included for title aligns closely with the role.
CAND_0093912,96,0.1050,Senior Data Scientist (5.3 yrs) included for title aligns closely with the role.
CAND_0039383,97,0.1049,Applied ML Engineer (7.1 yrs) included for title aligns closely with the role.
CAND_0054123,98,0.1040,Applied ML Engineer (4.7 yrs) included for title aligns closely with the role.
CAND_0075249,99,0.1032,Applied ML Engineer (6.2 yrs) included for title aligns closely with the role.
CAND_0041610,100,0.1000,Recommendation Systems Engineer (6.7 yrs) included for title aligns closely with the role.
